keys,cs,en
PLAY,HRÁT,PLAY
D_EASY,LEHKÁ,EASY
D_MEDIUM,STŘEDNÍ,MEDIUM
D_HARD,TĚŽKÁ,HARD
D_CUSTOM,VLASTNÍ,CUSTOM
D_EASY_DESC,Jednoduchá kostka na uvolnění.,An easy puzzle to relax with.
D_MEDIUM_DESC,Těžší kostka pro zábavu.,A harder puzzle for fun.
D_HARD_DESC,Obtížný hlavolam na zamotání hlavy.,A difficult puzzle to blow your mind.
D_CUSTOM_DESC,Nastav si svou vlastní velikost!,Set up your own puzzle size!
RECORDS,Rekordy,Records
BACK,Zpátky,Back
CLOSE,Zavřít,Close
SUBMIT_PROMPT,Napiš své jméno:,Write your name:
PROMPT_PLACEHOLDER,Jméno...,Name...
SPACEBAR,Mezera,Space
OK,OK,OK
CONGRATS,Hotovo! Kostka vyřešena!,Done! Puzzle solved!
TIME,Čas:,Time:
NEW_RECORD,Nový rekord! Chceš se zapsat?,New record! Want to save it?
NEW_RECORD_YES,"Ano, chci!","Yes, please!"
NEW_RECORD_NO,"Ne, díky","No, thanks"
CUST_MAZE,Bludiště,Maze
CUST_MAZE_H,Výška,Height
CUST_MAZE_W,Šířka,Width
CUST_PRISM,Kostka,Cube
CUST_PRISM_L,Počet úrovní,Level count
XR_ERROR_TITLE,Nelze spustit hru,Cannot launch game
E_NO_INTERFACE,Nebylo nalezeno rozhraní pro Virtuální Realitu,No Virtual Reality interface found
E_OXR_INIT_FAILED,"Nebyl detekován Headset pro virtuální realitu.
Připoj prosím svůj headset a zkus to znovu.
Hra bude nyní uzavřena.","A Virtual Reality Headset was not detected.
Please connect your headset and try again.
The game will now close."
E_WXR_INIT_FAILED,"Nebyl detekován Headset pro virtuální realitu.
Připoj prosím svůj headset a zkus to znovu.
Hra bude nyní uzavřena.","A Virtual Reality Headset was not detected.
Please connect your headset and try again.
The game will now close."
E_WXR_NOT_SUPPORTED,"Tvůj prohlížeč nepodporuje WebXR. Hra na tvém headsetu nemůže být spuštěna.","Your browser does not support WebXR, the game cannot be launched on your headset."
OPTIONS,Možnosti,Options
LANGUAGE,Jazyk,Language
RESET,Resetovat,Reset
R_RECORDS,Resetovat rekordy,Reset records
R_FIRSTRUN,Obnovit první spuštění,Restore first-run experience
CONTROLS,Ovládání,Controls
HOWTO,"Obklop kostku oběma rukama, sevři ovladač (stiskni postranní tlačítka) a nakláněj, dokud kulička nedorazí do cíle!","Embrace the cube with both hands, grip the controller (press the side buttons) and tilt, until the marble reaches the end!"
GIVEUP_NOTICE,"Pokud se chceš vzdát a vrátit se na hlavní obrazovku, pusť kostku a zvedni obě ruce nad hlavu.","If you wish to give up and return to the main screen, release the cube and raise your hands above your head."
GIVEUP_ACTION,Návrat za:,Returning in:
